
"Reference number","2022-20433192"
"Entity number","0404935507"
"Accounting period start date","2021-01-01"
"Accounting period end date","2021-12-31"
"Model code","m02-f"
"Deposit type","Correction"
"Language","nl"
"Currency","EUR"
"Entity name","Bonas Couzyn (Antwerp) NV"
"Entity address street","Pelikaanstraat"
"Entity address number","62"
"Entity postal code","2018"
"Entity city","Antwerpen"
"Entity country","België"
"General assembly date","2022-06-29"
"Liquidation flag","FALSE"
"Correction flag","TRUE"
"Legal form","Naamloze vennootschap"
"1213","11.2"
"1212","6"
"1211","6"
"10032P","9.9"
"3431","5"
"1011","17203"
"100P","125000"
"8052P","204008.97"
"1003","15"
"1002","6"
"1001","9.8"
"10031P","3.7"
"10231P","364791.32"
"1022","426911.26"
"1021","1145965.87"
"2103","8"
"3433","5"
"1013","24757"
"2101","8"
"1012","7554"
"10232P","1037174.54"
"1023","1572877.13"
"617","206024.07"
"1053","15.2"
"1052","6"
"1051","10"
"620","1015197.79"
"621","279911.35"
"622","259501.79"
"623","18266.20"
"630","135038.93"
"65/66B","384571.53"
"10011","3.8"
"10012","6"
"640","1528.35"
"10022","6"
"654","261552.64"
"655","123018.89"
"10231","503895.62"
"10232","1068981.51"
"440/4","2531927.17"
"1023P","1401965.86"
"640/8","16915.25"
"10211","503895.62"
"10212","642070.25"
"3053","5"
"3051","5"
"10222","426911.26"
"450","325000"
"211","11112.48"
"697","1059090.57"
"51/53","152485.78"
"285/8","72275.13"
"600/8","596442804.55"
"75/76B","759591.24"
"8322","2702102.01"
"8323","178714.58"
"130/1","12500"
"12112","1"
"12111","1"
"12113","1.9"
"8583","248"
"12121","1"
"22/27","312278.3"
"284","9109.44"
"12123","1"
"10/49","7101142.82"
"20/58","7101142.82"
"10/11","125000"
"10/15","3055608.55"
"8122","192896.49"
"12101","4"
"285/8P","72027.13"
"12103","8.3"
"12102","5"
"54/58","5853293.16"
"1501","4"
"8393","9109.44"
"1511","8391"
"8163","2298.34"
"8162","75088.45"
"1521","206024.07"
"490/1","77341.60"
"8192","2997509.12"
"8193","195585.77"
"1323","1"
"1321","1"
"40/41","613246.93"
"1341","9"
"454/9","123029.08"
"9077","123029.08"
"1103","15.2"
"1102","6"
"1343","14.2"
"1101","10"
"1342","6"
"9087","15"
"9088","24757"
"9086","16"
"694/7","1059090.57"
"9098","8391"
"9097","4"
"670/3","373386.92"
"8393P","9109.44"
"10132P","14155"
"3101","5"
"10131P","5502"
"3103","5"
"450/3","325000"
"751","5236.92"
"754","754354.32"
"10132","18262"
"10131","6495"
"1013P","19657"
"9903","1718041.76"
"9901","1343022.05"
"9906","2664037.56"
"9904","1412120.76"
"9905","1412120.76"
"42/48","4045534.27"
"2053","8"
"2051","8"
"641/8","15386.90"
"10112","10708"
"10111","6495"
"652/9","384571.53"
"95061","4921"
"10122","7554"
"8192P","2922420.67"
"50/53","152485.78"
"70/76A","603832872.26"
"29/58","6696367.47"
"17/49","4045534.27"
"8193P","193287.43"
"100","125000"
"9503","198212.20"
"8322P","2603637.8"
"10","125000"
"13","1325661.56"
"14","1604946.99"
"9505","14750"
"21","11112.48"
"23","295407.11"
"24","16871.19"
"28","81384.57"
"60/66A","602489850.21"
"130","12500"
"133","1313161.56"
"8684","152299.08"
"12021","1"
"8687","186.70"
"12023","1"
"8323P","162275.5"
"40","194603.58"
"41","418643.35"
"44","2531927.17"
"45","448029.08"
"14P","1251916.80"
"52","152299.08"
"53","186.7"
"12001","3"
"60","596442804.55"
"12003","3"
"61","4322214.35"
"62","1572877.13"
"65","384571.53"
"21/28","404775.35"
"10031","3.8"
"10032","11.2"
"70","603285955.22"
"74","546917.04"
"75","759591.24"
"77","67465.92"
"752/9","754354.32"
"1003P","13.6"
"8273","16439.08"
"8272","98464.21"
"8122P","172760.85"
"9135","0.66"
"9134","325000.66"
"9139","48386.26"
"9137","325000"
"47/48","1065578.02"
"9138","48386.26"
"9146","35827.90"
"9147","409943.29"
"9145","380046.94"
"8052","204008.97"
"8072","20135.64"
"284/8","81384.57"
"1203","4"
"1201","4"
"67/77","305921"
